"dataset","seed","fold","frechet_sparse","frechet_dense","euclid_sparse","euclid_dense","n_sel","p"
"Setting6",19,5,1,0.833333333333333,1,0.611111111111111,2,10
"Setting6",20,1,0.888888888888889,0.777777777777778,0.888888888888889,0.833333333333333,2,10
"Setting6",20,2,0.944444444444444,0.833333333333333,0.944444444444444,0.666666666666667,2,10
"Setting6",20,3,1,0.944444444444444,0.944444444444444,0.722222222222222,7,10
"Setting6",20,4,1,0.888888888888889,1,0.833333333333333,2,10
"Setting6",20,5,1,0.944444444444444,0.944444444444444,0.722222222222222,9,10
"Shape_noise",1,1,1,1,0.888888888888889,0.833333333333333,2,5
"Shape_noise",1,2,1,1,0.944444444444444,0.888888888888889,5,5
"Shape_noise",1,3,1,0.944444444444444,0.944444444444444,0.944444444444444,5,5
"Shape_noise",1,4,1,0.888888888888889,0.944444444444444,0.944444444444444,4,5
"Shape_noise",1,5,1,0.944444444444444,0.944444444444444,0.777777777777778,5,5
"Shape_noise",2,1,1,1,0.944444444444444,0.944444444444444,2,5
"Shape_noise",2,2,1,1,0.944444444444444,0.944444444444444,2,5
"Shape_noise",2,3,0.944444444444444,0.888888888888889,0.944444444444444,0.833333333333333,5,5
"Shape_noise",2,4,1,1,0.888888888888889,0.944444444444444,2,5
"Shape_noise",2,5,1,0.888888888888889,0.944444444444444,0.833333333333333,2,5
"Shape_noise",3,1,1,0.944444444444444,1,0.888888888888889,2,5
"Shape_noise",3,2,1,0.888888888888889,0.833333333333333,0.833333333333333,4,5
"Shape_noise",3,3,1,0.833333333333333,0.888888888888889,0.833333333333333,2,5
"Shape_noise",3,4,1,0.833333333333333,0.944444444444444,0.888888888888889,5,5
"Shape_noise",3,5,1,0.833333333333333,1,0.722222222222222,5,5
"Shape_noise",4,1,1,1,1,0.888888888888889,2,5
"Shape_noise",4,2,0.944444444444444,0.777777777777778,0.833333333333333,0.833333333333333,2,5
"Shape_noise",4,3,0.944444444444444,0.888888888888889,0.722222222222222,0.777777777777778,2,5
"Shape_noise",4,4,1,0.944444444444444,1,0.888888888888889,2,5
"Shape_noise",4,5,1,0.944444444444444,0.888888888888889,0.944444444444444,2,5
"Shape_noise",5,1,1,0.722222222222222,1,0.944444444444444,2,5
"Shape_noise",5,2,1,0.944444444444444,0.944444444444444,0.833333333333333,2,5
"Shape_noise",5,3,1,0.944444444444444,0.888888888888889,0.833333333333333,2,5
"Shape_noise",5,4,1,0.888888888888889,1,0.888888888888889,2,5
"Shape_noise",5,5,1,0.944444444444444,1,0.833333333333333,2,5
"Shape_noise",6,1,1,0.833333333333333,0.944444444444444,0.944444444444444,2,5
"Shape_noise",6,2,1,1,0.944444444444444,0.833333333333333,2,5
"Shape_noise",6,3,0.944444444444444,0.944444444444444,0.777777777777778,0.833333333333333,2,5
"Shape_noise",6,4,1,0.888888888888889,0.833333333333333,0.833333333333333,2,5
"Shape_noise",6,5,1,1,0.944444444444444,0.833333333333333,2,5
"Shape_noise",7,1,1,1,0.833333333333333,0.777777777777778,5,5
"Shape_noise",7,2,1,0.833333333333333,0.944444444444444,1,2,5
"Shape_noise",7,3,0.944444444444444,0.888888888888889,0.944444444444444,0.888888888888889,2,5
"Shape_noise",7,4,1,0.888888888888889,1,0.888888888888889,2,5
"Shape_noise",7,5,1,1,0.888888888888889,0.888888888888889,2,5
"Shape_noise",8,1,1,0.944444444444444,0.722222222222222,0.722222222222222,2,5
"Shape_noise",8,2,1,0.944444444444444,0.944444444444444,0.777777777777778,2,5
"Shape_noise",8,3,1,0.777777777777778,0.888888888888889,0.777777777777778,2,5
"Shape_noise",8,4,1,0.888888888888889,0.833333333333333,0.833333333333333,2,5
"Shape_noise",8,5,1,0.944444444444444,1,0.944444444444444,2,5
"Shape_noise",9,1,1,0.944444444444444,1,0.888888888888889,2,5
