"dataset","seed","fold","n_var","n_info_included","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"HighDim20",13,1,15,3,3,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.196189052073172,0.123456790123457
"HighDim20",13,1,16,3,1,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.891774891774892,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"HighDim20",13,1,17,3,7,1,1,1,1,1,1,1,NA,0.193732686098494,0.104308390022676
"HighDim20",13,1,18,3,7,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.222111887418827,0.124716553287982
"HighDim20",13,1,19,3,7,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,0.256787126811771,0.154195011337868
"HighDim20",13,1,20,3,7,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.891774891774892,0.888888888888889,0.833333333333333,NA,0.232696238752057,0.131519274376417
"HighDim20",13,2,1,1,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"HighDim20",13,2,2,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"HighDim20",13,2,3,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,2,4,3,5,1,1,1,1,1,1,1,NA,0.0407760652822334,0.0222222222222222
"HighDim20",13,2,5,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,2,6,3,9,1,1,1,1,1,1,1,NA,0.104755410039562,0.0548696844993141
"HighDim20",13,2,7,3,11,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.16352724509744,0.0780532598714417
"HighDim20",13,2,8,3,5,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.100492496507277,0.0577777777777778
"HighDim20",13,2,9,3,7,0.888888888888889,0.888888888888889,0.904761904761905,0.888888888888889,0.882051282051282,0.888888888888889,0.833333333333333,NA,0.155656742029551,0.0861678004535147
"HighDim20",13,2,10,3,5,1,1,1,1,1,1,1,NA,0.106345858488268,0.0488888888888889
"HighDim20",13,2,11,3,7,1,1,1,1,1,1,1,NA,0.156542094212793,0.0702947845804989
"HighDim20",13,2,12,3,7,1,1,1,1,1,1,1,NA,0.197318159495026,0.0997732426303855
"HighDim20",13,2,13,3,3,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.151137373394487,0.0864197530864198
"HighDim20",13,2,14,3,5,1,1,1,1,1,1,1,NA,0.150707397167033,0.08
"HighDim20",13,2,15,3,5,1,1,1,1,1,1,1,NA,0.226406165750509,0.124444444444444
"HighDim20",13,2,16,3,7,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.282478906782981,0.136054421768707
"HighDim20",13,2,17,3,11,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.356926793612683,0.183654729109275
"HighDim20",13,2,18,3,11,1,1,1,1,1,1,1,NA,0.335275862993793,0.161616161616162
"HighDim20",13,2,19,3,11,1,1,1,1,1,1,1,NA,0.373928527563793,0.186409550045914
"HighDim20",13,2,20,3,9,0.888888888888889,0.888888888888889,0.896825396825397,0.888888888888889,0.888500388500388,0.888888888888889,0.833333333333333,NA,0.375485014876336,0.200274348422497
"HighDim20",13,3,1,1,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,3,2,2,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,3,3,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,3,4,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,3,5,3,11,1,1,1,1,1,1,1,NA,0.0947455617662025,0.0293847566574839
"HighDim20",13,3,6,3,5,1,1,1,1,1,1,1,NA,0.0247937279238011,0.00888888888888889
"HighDim20",13,3,7,3,9,1,1,1,1,1,1,1,NA,0.106567922668233,0.0438957475994513
"HighDim20",13,3,8,3,11,1,1,1,1,1,1,1,NA,0.178737649771493,0.0909090909090909
"HighDim20",13,3,9,3,3,1,1,1,1,1,1,1,NA,0.0450516786786849,0.0246913580246914
"HighDim20",13,3,10,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,3,11,3,5,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.169647763109844,0.0977777777777778
"HighDim20",13,3,12,3,9,0.888888888888889,0.888888888888889,0.904761904761905,0.888888888888889,0.882051282051282,0.888888888888889,0.833333333333333,NA,0.268771875348381,0.146776406035665
"HighDim20",13,3,13,3,5,1,1,1,1,1,1,1,NA,0.184312515656203,0.0844444444444444
"HighDim20",13,3,14,3,9,0.888888888888889,0.888888888888889,0.904761904761905,0.888888888888889,0.882051282051282,0.888888888888889,0.833333333333333,NA,0.289029826103265,0.15363511659808
"HighDim20",13,3,15,3,5,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.286122596975553,0.164444444444444
"HighDim20",13,3,16,3,9,1,1,1,1,1,1,1,NA,0.301598758921531,0.155006858710562
"HighDim20",13,3,17,3,7,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.298005868185625,0.172335600907029
"HighDim20",13,3,18,3,7,0.888888888888889,0.888888888888889,0.896825396825397,0.888888888888889,0.888500388500388,0.888888888888889,0.833333333333333,NA,0.310402732147526,0.18140589569161
"HighDim20",13,3,19,3,9,0.888888888888889,0.888888888888889,0.896825396825397,0.888888888888889,0.888500388500388,0.888888888888889,0.833333333333333,NA,0.318554543379305,0.187928669410151
"HighDim20",13,3,20,3,7,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.282023530827193,0.167800453514739
