"dataset","method","family","needs_grid","seed","fold","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier","k_sel","gamma_sel","s_sel","n_sel","lambda","seconds","ok","error"
"Epilepsy","MFKmL-C + SVM","proposed",FALSE,3,4,0.759259259259259,0.751053113553114,0.807291666666667,0.751053113553114,0.761941862667815,0.759259259259259,0.676795580110497,NA,0.800410001621374,0.393052661471823,NA,1,1.73205080756888,3,0.390243902439024,0.0463540554046631,TRUE,""
"Epilepsy","DTW + SVM","distance",FALSE,3,4,0.944444444444444,0.9375,0.953125,0.9375,0.938423645320197,0.944444444444444,0.925653969710877,NA,0.393274320129247,0.196762728800878,NA,1,1.73205080756888,3,0.390243902439024,0.044813871383667,TRUE,""
"Epilepsy","Euclid + SVM","distance",TRUE,3,4,0.648148148148148,0.645512820512821,0.68968253968254,0.645512820512821,0.647716845358833,0.648148148148148,0.531506849315068,NA,0.777964737137816,0.439123268870805,NA,1,1.73205080756888,3,0.390243902439024,0.044633150100708,TRUE,""
"Epilepsy","SFKmL-C + SVM","proposed",FALSE,3,4,0.648148148148148,0.63525641025641,0.661239495798319,0.63525641025641,0.624455100261552,0.648148148148148,0.525219805645534,NA,0.990992077839521,0.526021633763031,NA,1,1.02,2,0.390243902439024,0.0955290794372559,TRUE,""
"Epilepsy","SFKmL-C(dense) + kFDA","proposed",FALSE,3,4,0.925925925925926,0.928205128205128,0.925595238095238,0.928205128205128,0.924907161803713,0.925925925925926,0.901189387008234,NA,0.851592737432006,0.440642651557222,NA,1,1.73205080756888,3,0.390243902439024,0.0640599727630615,TRUE,""
"Epilepsy","MFKmL-C + kFDA","proposed",FALSE,3,4,0.833333333333333,0.830448717948718,0.851341093117409,0.830448717948718,0.827843137254902,0.833333333333333,0.776551724137931,NA,0.991665887823564,0.52833301317539,NA,1,1.73205080756888,3,0.390243902439024,0.0534729957580566,TRUE,""
"Epilepsy","DTW + kFDA","distance",FALSE,3,4,1,1,1,1,1,1,1,NA,0.718139718985673,0.358693648077772,NA,1,1.73205080756888,3,0.390243902439024,0.0527229309082031,TRUE,""
"Epilepsy","Euclid + kFDA","distance",TRUE,3,4,0.851851851851852,0.851053113553114,0.851648351648352,0.851053113553114,0.849494056390608,0.851851851851852,0.802469135802469,NA,0.83008136572799,0.439809840642504,NA,1,1.73205080756888,3,0.390243902439024,0.051476001739502,TRUE,""
"Epilepsy","SFKmL-C + kFDA","proposed",FALSE,3,4,0.777777777777778,0.776053113553114,0.78713474025974,0.776053113553114,0.778737018656374,0.777777777777778,0.70316078790655,NA,0.813976773088352,0.444835767035852,NA,1,1.02,2,0.390243902439024,0.096519947052002,TRUE,""
"Epilepsy","SFKmL-C(gap) + medoid","proposed",FALSE,3,5,0.792452830188679,0.793498168498169,0.811647727272727,0.793498168498169,0.793971764117941,0.792452830188679,0.723040380047506,NA,1.17920319067603,0.642371032886498,NA,NA,1.71473029949319,3,0.024390243902439,0.160308837890625,TRUE,""
