"dataset","seed","fold","s","n_sel","p","k_sel","gamma_sel","bal_acc_knn","acc_knn","macro_f1_knn","bal_acc_kfda","acc_kfda","macro_f1_kfda"
"Epilepsy",1,4,1.60586537343063,3,3,3,2,0.940705128205128,0.944444444444444,0.942708333333333,0.924038461538462,0.925925925925926,0.92497311827957
"Epilepsy",1,4,1.73205080756888,3,3,1,2,0.900641025641026,0.907407407407407,0.900268817204301,0.9625,0.962962962962963,0.9625
"Epilepsy",1,5,1.02,3,3,1,0.125,0.833791208791209,0.830188679245283,0.829941301750558,0.845695970695971,0.849056603773585,0.843928035982009
"Epilepsy",1,5,1.10014939791998,3,3,1,0.25,0.887362637362637,0.886792452830189,0.883664228491815,0.903617216117216,0.905660377358491,0.907141187470781
"Epilepsy",1,5,1.18659676249382,3,3,1,0.125,0.925824175824176,0.924528301886792,0.923611111111111,0.866529304029304,0.867924528301887,0.865652173913043
"Epilepsy",1,5,1.27983697434448,3,3,1,1,0.962912087912088,0.962264150943396,0.962142857142857,0.882783882783883,0.886792452830189,0.88393849670147
"Epilepsy",1,5,1.3804038007459,3,3,1,1,0.943681318681319,0.943396226415094,0.942078754578755,0.922847985347985,0.924528301886792,0.924880525686977
"Epilepsy",1,5,1.48887295125201,3,3,3,0.125,0.945054945054945,0.943396226415094,0.942307692307692,0.8871336996337,0.886792452830189,0.8871336996337
"Epilepsy",1,5,1.60586537343063,3,3,3,0.25,0.945054945054945,0.943396226415094,0.942307692307692,0.906364468864469,0.905660377358491,0.906415343915344
"Epilepsy",1,5,1.73205080756888,3,3,3,1,0.8871336996337,0.886792452830189,0.886564916564917,0.961309523809524,0.962264150943396,0.962014032666207
"Epilepsy",2,1,1.02,2,3,1,0.25,0.896428571428571,0.892857142857143,0.892222222222222,0.879761904761905,0.875,0.876658456486043
"Epilepsy",2,1,1.10014939791998,3,3,1,2,0.879761904761905,0.875,0.873415856174477,0.839880952380952,0.839285714285714,0.833928571428571
"Epilepsy",2,1,1.18659676249382,3,3,1,0.125,0.914285714285714,0.910714285714286,0.909888004715591,0.910119047619048,0.910714285714286,0.912018299605957
"Epilepsy",2,1,1.27983697434448,3,3,1,1,0.890476190476191,0.892857142857143,0.889367816091954,0.867261904761905,0.875,0.867887196954518
"Epilepsy",2,1,1.3804038007459,3,3,3,1,0.896428571428571,0.892857142857143,0.890657235484822,0.867261904761905,0.875,0.867887196954518
"Epilepsy",2,1,1.48887295125201,3,3,1,1,0.871428571428571,0.875,0.871714456391876,0.872619047619048,0.875,0.870879120879121
"Epilepsy",2,1,1.60586537343063,3,3,3,2,0.910119047619048,0.910714285714286,0.908888888888889,0.930952380952381,0.928571428571429,0.928205128205128
"Epilepsy",2,1,1.73205080756888,3,3,3,2,0.910119047619048,0.910714285714286,0.908888888888889,0.896428571428571,0.892857142857143,0.891139727902798
"Epilepsy",2,2,1.02,2,3,3,0.25,0.804166666666667,0.803571428571429,0.795438218390805,0.838690476190476,0.839285714285714,0.828943765444467
"Epilepsy",2,2,1.10014939791998,2,3,1,0.5,0.911904761904762,0.910714285714286,0.906609195402299,0.856547619047619,0.857142857142857,0.850651364764268
"Epilepsy",2,2,1.18659676249382,3,3,1,0.125,0.929761904761905,0.928571428571429,0.925665024630542,0.874404761904762,0.875,0.87037037037037
"Epilepsy",2,2,1.27983697434448,3,3,3,0.125,0.929761904761905,0.928571428571429,0.925665024630542,0.896428571428571,0.892857142857143,0.89010989010989
"Epilepsy",2,2,1.3804038007459,3,3,3,0.25,0.929761904761905,0.928571428571429,0.925665024630542,0.914285714285714,0.910714285714286,0.908730158730159
"Epilepsy",2,2,1.48887295125201,3,3,3,0.125,0.913095238095238,0.910714285714286,0.907967032967033,0.930952380952381,0.928571428571429,0.928888888888889
"Epilepsy",2,2,1.60586537343063,3,3,1,0.125,0.911904761904762,0.910714285714286,0.905952380952381,0.930952380952381,0.928571428571429,0.928888888888889
"Epilepsy",2,2,1.73205080756888,3,3,1,0.25,0.946428571428571,0.946428571428571,0.942704714640199,0.930952380952381,0.928571428571429,0.928888888888889
"Epilepsy",2,3,1.02,2,3,1,0.5,0.827380952380952,0.821428571428571,0.820646367521368,0.825,0.821428571428571,0.810876623376623
"Epilepsy",2,3,1.10014939791998,3,3,1,1,0.826190476190476,0.821428571428571,0.816220238095238,0.842857142857143,0.839285714285714,0.830809595202399
"Epilepsy",2,3,1.18659676249382,3,3,1,0.25,0.895238095238095,0.892857142857143,0.889285714285714,0.85952380952381,0.857142857142857,0.853763883175648
"Epilepsy",2,3,1.27983697434448,3,3,1,0.25,0.878571428571429,0.875,0.872331691297209,0.85952380952381,0.857142857142857,0.853763883175648
"Epilepsy",2,3,1.3804038007459,3,3,3,0.125,0.860714285714286,0.857142857142857,0.851785714285714,0.911904761904762,0.910714285714286,0.910454545454545
"Epilepsy",2,3,1.48887295125201,3,3,3,0.125,0.913095238095238,0.910714285714286,0.908974358974359,0.930952380952381,0.928571428571429,0.928888888888889
"Epilepsy",2,3,1.60586537343063,3,3,3,0.125,0.913095238095238,0.910714285714286,0.908974358974359,0.932142857142857,0.928571428571429,0.928429329291398
"Epilepsy",2,3,1.73205080756888,3,3,1,0.25,0.947619047619048,0.946428571428571,0.944871794871795,0.948809523809524,0.946428571428571,0.94628078817734
"Epilepsy",2,4,1.02,2,3,1,0.25,0.944871794871795,0.944444444444444,0.944712643678161,0.773489010989011,0.777777777777778,0.776279879540749
"Epilepsy",2,4,1.10014939791998,2,3,1,0.125,0.907371794871795,0.907407407407407,0.905846560846561,0.809386446886447,0.814814814814815,0.813658008658009
"Epilepsy",2,4,1.18659676249382,3,3,1,2,0.964102564102564,0.962962962962963,0.962148541114058,0.86474358974359,0.87037037037037,0.872924901185771
"Epilepsy",2,4,1.27983697434448,3,3,1,1,0.964102564102564,0.962962962962963,0.962148541114058,0.866117216117216,0.87037037037037,0.870253257209779
"Epilepsy",2,4,1.3804038007459,3,3,3,0.25,0.940705128205128,0.944444444444444,0.942708333333333,0.903617216117216,0.907407407407407,0.904017857142857
"Epilepsy",2,4,1.48887295125201,3,3,3,0.25,0.940705128205128,0.944444444444444,0.942708333333333,0.866529304029304,0.87037037037037,0.863787857673727
"Epilepsy",2,4,1.60586537343063,3,3,3,0.5,0.940705128205128,0.944444444444444,0.942708333333333,0.903617216117216,0.907407407407407,0.904017857142857
"Epilepsy",2,4,1.73205080756888,3,3,1,0.25,0.962912087912088,0.962962962962963,0.963445455380939,0.885760073260073,0.888888888888889,0.88699494949495
"Epilepsy",2,5,1.02,3,3,3,0.125,0.771978021978022,0.773584905660377,0.73246473354232,0.808379120879121,0.811320754716981,0.815122377622378
"Epilepsy",2,5,1.10014939791998,3,3,1,1,0.82967032967033,0.830188679245283,0.815728838224594,0.832188644688645,0.830188679245283,0.832382987382987
"Epilepsy",2,5,1.18659676249382,3,3,1,2,0.847527472527473,0.849056603773585,0.830952380952381,0.811584249084249,0.811320754716981,0.807323902151488
"Epilepsy",2,5,1.27983697434448,3,3,1,0.25,0.865384615384615,0.867924528301887,0.850785179732548,0.904990842490842,0.905660377358491,0.908076303728478
"Epilepsy",2,5,1.3804038007459,3,3,1,0.25,0.844551282051282,0.849056603773585,0.831554410501779,0.943452380952381,0.943396226415094,0.944156889809064
"Epilepsy",2,5,1.48887295125201,3,3,1,0.5,0.863782051282051,0.867924528301887,0.855288461538462,0.943452380952381,0.943396226415094,0.944156889809064
"Epilepsy",2,5,1.60586537343063,3,3,1,8,0.845924908424908,0.849056603773585,0.837037037037037,0.904990842490842,0.905660377358491,0.904285714285714
"Epilepsy",2,5,1.73205080756888,3,3,1,1,0.923076923076923,0.924528301886792,0.918146987112504,0.8871336996337,0.886792452830189,0.886564916564917
"Epilepsy",3,1,1.02,2,3,1,0.125,0.826190476190476,0.821428571428571,0.816298261125847,0.831547619047619,0.839285714285714,0.829414580860934
"Epilepsy",3,1,1.10014939791998,3,3,1,0.5,0.877380952380952,0.875,0.868364055299539,0.867261904761905,0.875,0.869724025974026
