"dataset","seed","fold","n_var","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Epilepsy",14,2,3,1,0.892857142857143,0.891071428571429,0.90625,0.891071428571429,0.8880766989777,0.892857142857143,0.857264231096007,NA,3.700583185169,0.214285714285714
"Epilepsy",14,3,1,1,0.839285714285714,0.842857142857143,0.85403311965812,0.842857142857143,0.830134241634943,0.839285714285714,0.786350148367953,NA,5.5508747777535,0.321428571428571
"Epilepsy",14,3,2,1,0.964285714285714,0.961309523809524,0.961309523809524,0.961309523809524,0.961309523809524,0.964285714285714,0.952259164535379,NA,1.23352772838967,0.0714285714285714
"Epilepsy",14,3,3,1,0.964285714285714,0.96547619047619,0.962912087912088,0.96547619047619,0.963522167487685,0.964285714285714,0.952320136228182,NA,1.23352772838967,0.0714285714285714
"Epilepsy",14,4,1,1,0.740740740740741,0.735989010989011,0.751262626262626,0.735989010989011,0.740740740740741,0.740740740740741,0.652733118971061,NA,8.95449758386573,0.518518518518518
"Epilepsy",14,4,2,1,0.907407407407407,0.914102564102564,0.909935897435897,0.914102564102564,0.907989417989418,0.907407407407407,0.876656007309274,NA,3.19803485138062,0.185185185185185
"Epilepsy",14,4,3,1,0.925925925925926,0.928205128205128,0.925595238095238,0.928205128205128,0.924907161803713,0.925925925925926,0.901189387008234,NA,2.5584278811045,0.148148148148148
"Epilepsy",14,5,1,1,0.849056603773585,0.845924908424908,0.875,0.845924908424908,0.838095238095238,0.849056603773585,0.798670465337132,NA,5.21340021055256,0.30188679245283
"Epilepsy",14,5,2,1,0.867924528301887,0.866758241758242,0.891176470588235,0.866758241758242,0.856899641577061,0.867924528301887,0.823669201520913,NA,4.56172518423349,0.264150943396226
"Epilepsy",14,5,3,1,0.886792452830189,0.885989010989011,0.892390289449113,0.885989010989011,0.879134604941057,0.886792452830189,0.848859315589354,NA,3.91005015791442,0.226415094339623
"Epilepsy",15,1,1,1,0.875,0.880952380952381,0.886406485671192,0.880952380952381,0.874201787994891,0.875,0.833898305084746,NA,4.31734704936384,0.25
"Epilepsy",15,1,2,1,0.875,0.879761904761905,0.888009049773756,0.879761904761905,0.872138716966303,0.875,0.833898305084746,NA,4.31734704936384,0.25
"Epilepsy",15,1,3,1,0.839285714285714,0.841666666666667,0.892857142857143,0.841666666666667,0.830627705627706,0.839285714285714,0.78698224852071,NA,5.5508747777535,0.321428571428571
"Epilepsy",15,2,1,1,0.839285714285714,0.842857142857143,0.848692810457516,0.842857142857143,0.830809595202399,0.839285714285714,0.786078098471987,NA,5.5508747777535,0.321428571428571
"Epilepsy",15,2,2,1,0.928571428571429,0.933333333333333,0.944444444444444,0.933333333333333,0.93235153256705,0.928571428571429,0.90468085106383,NA,2.46705545677933,0.142857142857143
"Epilepsy",15,2,3,1,0.892857142857143,0.893452380952381,0.894871794871795,0.893452380952381,0.892372742200328,0.892857142857143,0.857021276595745,NA,3.700583185169,0.214285714285714
"Epilepsy",15,3,1,1,0.875,0.87202380952381,0.876143790849673,0.87202380952381,0.861991747181965,0.875,0.833191489361702,NA,4.31734704936384,0.25
"Epilepsy",15,3,2,1,0.910714285714286,0.911904761904762,0.91875,0.911904761904762,0.906362007168459,0.910714285714286,0.880901743938749,NA,3.08381932097417,0.178571428571429
"Epilepsy",15,3,3,1,0.910714285714286,0.910714285714286,0.922619047619048,0.910714285714286,0.903694131955001,0.910714285714286,0.88069876438006,NA,3.08381932097417,0.178571428571429
"Epilepsy",15,4,1,1,0.814814814814815,0.819322344322344,0.828205128205128,0.819322344322344,0.811082355647573,0.814814814814815,0.753761969904241,NA,6.39606970276124,0.37037037037037
"Epilepsy",15,4,2,1,0.888888888888889,0.891117216117216,0.896915584415584,0.891117216117216,0.887497719394271,0.888888888888889,0.851987208771128,NA,3.83764182165674,0.222222222222222
"Epilepsy",15,4,3,1,0.925925925925926,0.929578754578755,0.927197802197802,0.929578754578755,0.927100893997446,0.925925925925926,0.901189387008234,NA,2.5584278811045,0.148148148148148
"Epilepsy",15,5,1,1,0.811320754716981,0.808836996336996,0.82733718487395,0.808836996336996,0.796846731524151,0.811320754716981,0.748338081671415,NA,6.5167502631907,0.377358490566038
"Epilepsy",15,5,2,1,0.773584905660377,0.771978021978022,0.831214064573198,0.771978021978022,0.72911866359447,0.773584905660377,0.698292220113852,NA,7.82010031582883,0.452830188679245
"Epilepsy",15,5,3,1,0.886792452830189,0.885989010989011,0.904166666666667,0.885989010989011,0.878899835796388,0.886792452830189,0.849074513526341,NA,3.91005015791442,0.226415094339623
"Epilepsy",16,1,1,1,0.821428571428571,0.826190476190476,0.829595588235294,0.826190476190476,0.8153834948885,0.821428571428571,0.762409843020789,NA,6.16763864194834,0.357142857142857
"Epilepsy",16,1,2,1,0.785714285714286,0.7875,0.792860734037205,0.7875,0.774864799742986,0.785714285714286,0.714770797962649,NA,7.401166370338,0.428571428571429
"Epilepsy",16,1,3,1,0.857142857142857,0.860714285714286,0.870220588235294,0.860714285714286,0.852345860479898,0.857142857142857,0.809927874416631,NA,4.93411091355867,0.285714285714286
"Epilepsy",16,2,1,3,0.732142857142857,0.741666666666667,0.753968253968254,0.741666666666667,0.723519553354636,0.732142857142857,0.64527027027027,NA,5.12936103651478,0.400793650793651
"Epilepsy",16,2,2,1,0.875,0.876190476190476,0.891421568627451,0.876190476190476,0.863812229437229,0.875,0.833333333333333,NA,4.31734704936384,0.25
"Epilepsy",16,2,3,1,0.910714285714286,0.911904761904762,0.920168067226891,0.911904761904762,0.907852564102564,0.910714285714286,0.880749574105622,NA,3.08381932097417,0.178571428571429
"Epilepsy",16,3,1,1,0.803571428571429,0.804166666666667,0.840277777777778,0.804166666666667,0.793548387096774,0.803571428571429,0.738650827322868,NA,6.78440250614317,0.392857142857143
"Epilepsy",16,3,2,1,0.982142857142857,0.982142857142857,0.980769230769231,0.982142857142857,0.980740740740741,0.982142857142857,0.976149914821124,NA,0.616763864194834,0.0357142857142857
"Epilepsy",16,3,3,1,0.928571428571429,0.930952380952381,0.933333333333333,0.930952380952381,0.927704096669614,0.928571428571429,0.904802379940501,NA,2.46705545677933,0.142857142857143
"Epilepsy",16,4,1,1,0.851851851851852,0.851053113553114,0.857142857142857,0.851053113553114,0.848165401426271,0.851851851851852,0.802288329519451,NA,5.11685576220899,0.296296296296296
"Epilepsy",16,4,2,1,0.851851851851852,0.848717948717949,0.853203781512605,0.848717948717949,0.832852564102564,0.851851851851852,0.801652892561983,NA,5.11685576220899,0.296296296296296
"Epilepsy",16,4,3,1,0.87037037037037,0.869322344322344,0.86875,0.869322344322344,0.862682458054127,0.87037037037037,0.826923076923077,NA,4.47724879193287,0.259259259259259
"Epilepsy",16,5,1,1,0.905660377358491,0.906593406593407,0.908041958041958,0.906593406593407,0.902777777777778,0.905660377358491,0.874288425047438,NA,3.25837513159535,0.188679245283019
"Epilepsy",16,5,2,1,0.886792452830189,0.884157509157509,0.884615384615385,0.884157509157509,0.883760683760684,0.886792452830189,0.849002849002849,NA,3.91005015791442,0.226415094339623
"Epilepsy",16,5,3,1,0.943396226415094,0.942307692307692,0.947619047619048,0.942307692307692,0.939539845461884,0.943396226415094,0.924465558194774,NA,1.95502507895721,0.113207547169811
"Epilepsy",17,1,1,1,0.803571428571429,0.810714285714286,0.810399159663866,0.810714285714286,0.801771504357711,0.803571428571429,0.738872403560831,NA,6.78440250614317,0.392857142857143
"Epilepsy",17,1,2,1,0.964285714285714,0.964285714285714,0.965144230769231,0.964285714285714,0.962704714640199,0.964285714285714,0.952279505752024,NA,1.23352772838967,0.0714285714285714
"Epilepsy",17,1,3,1,0.892857142857143,0.896428571428571,0.893681318681319,0.896428571428571,0.891443167305236,0.892857142857143,0.857264231096007,NA,3.700583185169,0.214285714285714
"Epilepsy",17,2,1,1,0.803571428571429,0.8,0.838235294117647,0.8,0.792205459770115,0.803571428571429,0.738317757009346,NA,6.78440250614317,0.392857142857143
"Epilepsy",17,2,2,1,0.839285714285714,0.836309523809524,0.881993006993007,0.836309523809524,0.822702702702703,0.839285714285714,0.784707390004272,NA,5.5508747777535,0.321428571428571
"Epilepsy",17,2,3,1,0.892857142857143,0.894047619047619,0.91497975708502,0.894047619047619,0.89153452685422,0.892857142857143,0.856655290102389,NA,3.700583185169,0.214285714285714
"Epilepsy",17,3,1,3,0.839285714285714,0.844047619047619,0.849089635854342,0.844047619047619,0.834626436781609,0.839285714285714,0.78616885871871,NA,1.46498009314115,0.226190476190476
"Epilepsy",17,3,2,1,0.892857142857143,0.895238095238095,0.893939393939394,0.895238095238095,0.888888888888889,0.892857142857143,0.857142857142857,NA,3.700583185169,0.214285714285714
"Epilepsy",17,3,3,1,0.875,0.87202380952381,0.878472222222222,0.87202380952381,0.8622770987778,0.875,0.833404164895878,NA,4.31734704936384,0.25
"Epilepsy",17,4,1,1,0.907407407407407,0.908974358974359,0.919642857142857,0.908974358974359,0.905814949668023,0.907407407407407,0.876599634369287,NA,3.19803485138062,0.185185185185185
"Epilepsy",17,4,2,1,0.907407407407407,0.90224358974359,0.914136904761905,0.90224358974359,0.899398710299711,0.907407407407407,0.876203576341128,NA,3.19803485138062,0.185185185185185
"Epilepsy",17,4,3,1,0.888888888888889,0.886950549450549,0.892451298701299,0.886950549450549,0.886418987225439,0.888888888888889,0.851580393953275,NA,3.83764182165674,0.222222222222222
