"dataset","seed","fold","distance","k","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"japanese_vowels",2,4,"MFCL",5,0.953125,0.948183760683761,0.959757834757835,0.948183760683761,0.951870435687707,0.953125,0.946810720964056,NA,0.121449112055853,0.07375
"japanese_vowels",2,4,"MFCL",7,0.9375,0.93640839836492,0.940274902231424,0.93640839836492,0.934979826936349,0.9375,0.929169260565816,NA,0.142984410895182,0.0857780612244898
"japanese_vowels",2,4,"MFCL",9,0.9375,0.934093583550105,0.936147186147186,0.934093583550105,0.933593119645976,0.9375,0.929183955739972,NA,0.159336215596125,0.0931712962962963
"japanese_vowels",2,4,"MFCL",11,0.9296875,0.927149139105661,0.930226943654054,0.927149139105661,0.927468216163868,0.9296875,0.92029336469937,NA,0.173303371410842,0.0943956611570248
"japanese_vowels",2,5,"SFCL",1,0.903225806451613,0.893509268509268,0.909808771475438,0.893509268509268,0.896371334354807,0.903225806451613,0.8898919638893,NA,3.34246223176555,0.193548387096774
"japanese_vowels",2,5,"SFCL",3,0.911290322580645,0.908318432774954,0.907907578197433,0.908318432774954,0.905271008772484,0.911290322580645,0.899298634182355,NA,0.939192569154505,0.118279569892473
"japanese_vowels",2,5,"SFCL",5,0.92741935483871,0.922207321663843,0.933107287710868,0.922207321663843,0.922098512526982,0.92741935483871,0.917553191489362,NA,0.666395009293753,0.0993548387096774
"japanese_vowels",2,5,"SFCL",7,0.935483870967742,0.930143829600351,0.934431617764951,0.930143829600351,0.928295163550085,0.935483870967742,0.926762643041713,NA,0.689930889282305,0.107307439104674
"japanese_vowels",2,5,"SFCL",9,0.935483870967742,0.930143829600351,0.934431617764951,0.930143829600351,0.928295163550085,0.935483870967742,0.926762643041713,NA,0.431386192013355,0.101951413779371
"japanese_vowels",2,5,"SFCL",11,0.935483870967742,0.930143829600351,0.933396759377151,0.930143829600351,0.927690059091025,0.935483870967742,0.926773455377574,NA,0.43632026641061,0.100506531591576
"japanese_vowels",2,5,"MFCL",1,0.959677419354839,0.955176767676768,0.967348927875244,0.955176767676768,0.958132045088567,0.959677419354839,0.954182678096364,NA,1.39269259656898,0.0806451612903226
"japanese_vowels",2,5,"MFCL",3,0.975806451612903,0.971380471380471,0.973262032085562,0.971380471380471,0.972039232908798,0.975806451612903,0.972525849335303,NA,0.595365734285992,0.046594982078853
"japanese_vowels",2,5,"MFCL",5,0.975806451612903,0.971380471380471,0.977553310886644,0.971380471380471,0.973262032085562,0.975806451612903,0.972517730496454,NA,0.357769151576618,0.0529032258064516
"japanese_vowels",2,5,"MFCL",7,0.967741935483871,0.964436026936027,0.972222222222222,0.964436026936027,0.966705171308752,0.967741935483871,0.963356973995272,NA,0.372218608907263,0.0592495062541145
"japanese_vowels",2,5,"MFCL",9,0.951612903225806,0.947390572390572,0.952187028657617,0.947390572390572,0.947931697931698,0.951612903225806,0.945055756591094,NA,0.395989784016031,0.0766626841895659
"japanese_vowels",2,5,"MFCL",11,0.951612903225806,0.947390572390572,0.952187028657617,0.947390572390572,0.947931697931698,0.951612903225806,0.945055756591094,NA,0.409020096020106,0.0831778192482005
"japanese_vowels",3,1,"SFCL",1,0.930769230769231,0.92546805046805,0.930538150932888,0.92546805046805,0.925045493235341,0.930769230769231,0.921487048718293,NA,2.3911460581092,0.138461538461538
"japanese_vowels",3,1,"SFCL",3,0.923076923076923,0.916208791208791,0.924095519490256,0.916208791208791,0.917127755886522,0.923076923076923,0.912687218752099,NA,0.898058158827772,0.114529914529915
"japanese_vowels",3,1,"SFCL",5,0.946153846153846,0.943274318274318,0.945707841541175,0.943274318274318,0.942912582099873,0.946153846153846,0.93894256575416,NA,0.897200668335176,0.0984615384615385
"japanese_vowels",3,1,"SFCL",7,0.930769230769231,0.9247557997558,0.932127594627595,0.9247557997558,0.925318339015433,0.930769230769231,0.921455424274973,NA,0.921740316308323,0.105494505494505
"japanese_vowels",3,1,"SFCL",9,0.938461538461538,0.937932437932438,0.941221911616648,0.937932437932438,0.935984704091296,0.938461538461538,0.93025283347864,NA,0.432103902017471,0.102374169040836
"japanese_vowels",3,1,"SFCL",11,0.938461538461538,0.937932437932438,0.941221911616648,0.937932437932438,0.935984704091296,0.938461538461538,0.93025283347864,NA,0.428027022295558,0.100317863954228
"japanese_vowels",3,1,"MFCL",1,0.946153846153846,0.946479446479446,0.951091671486408,0.946479446479446,0.944978783906632,0.946153846153846,0.93897122929381,NA,1.85978026741827,0.107692307692308
"japanese_vowels",3,1,"MFCL",3,0.961538461538462,0.959045584045584,0.967151675485009,0.959045584045584,0.959969953793483,0.961538461538462,0.95635533472101,NA,0.587908005668518,0.0666666666666667
"japanese_vowels",3,1,"MFCL",5,0.938461538461538,0.937220187220187,0.946413308913309,0.937220187220187,0.935807708068889,0.938461538461538,0.930234118199504,NA,0.630707307484649,0.0910769230769231
"japanese_vowels",3,1,"MFCL",7,0.938461538461538,0.936609686609687,0.944098494098494,0.936609686609687,0.934231801478178,0.938461538461538,0.930248155600268,NA,0.407373569424234,0.100156985871272
"japanese_vowels",3,1,"MFCL",9,0.915384615384615,0.910866910866911,0.927378076834599,0.910866910866911,0.909797860394241,0.915384615384615,0.903988183161004,NA,0.180289202775978,0.107502374169041
"japanese_vowels",3,1,"MFCL",11,0.923076923076923,0.919413919413919,0.935034771991294,0.919413919413919,0.918168414571247,0.923076923076923,0.912728249194415,NA,0.205962174991252,0.116465352828989
"japanese_vowels",3,2,"SFCL",1,0.961240310077519,0.9625,0.961360398860399,0.9625,0.959349661497531,0.961240310077519,0.956071647483484,NA,1.33871226336863,0.0775193798449612
"japanese_vowels",3,2,"SFCL",3,0.968992248062015,0.971759259259259,0.968091168091168,0.971759259259259,0.968563972091152,0.968992248062015,0.964857317986787,NA,0.602807899975878,0.0637381567614126
"japanese_vowels",3,2,"SFCL",5,0.968992248062015,0.964814814814815,0.969135802469136,0.964814814814815,0.965441447428395,0.968992248062015,0.964806984040376,NA,0.358969986327062,0.0613953488372093
"japanese_vowels",3,2,"SFCL",7,0.968992248062015,0.964814814814815,0.969135802469136,0.964814814814815,0.965441447428395,0.968992248062015,0.964806984040376,NA,0.368107699778741,0.0648631545641512
"japanese_vowels",3,2,"SFCL",9,0.961240310077519,0.95787037037037,0.964677392324451,0.95787037037037,0.959592708284077,0.961240310077519,0.955984714071243,NA,0.372046166171169,0.0641209685137334
"japanese_vowels",3,2,"SFCL",11,0.961240310077519,0.95787037037037,0.964677392324451,0.95787037037037,0.959592708284077,0.961240310077519,0.955984714071243,NA,0.380895540359953,0.0691908514318662
"japanese_vowels",3,2,"MFCL",1,0.945736434108527,0.942378917378917,0.951505901505902,0.942378917378917,0.944385733293215,0.945736434108527,0.938357567069425,NA,1.87419716871608,0.108527131782946
"japanese_vowels",3,2,"MFCL",3,0.937984496124031,0.930804843304843,0.939362707009766,0.930804843304843,0.933208547241531,0.937984496124031,0.929522638803524,NA,0.877240633404296,0.0895779500430663
"japanese_vowels",3,2,"MFCL",5,0.937984496124031,0.933119658119658,0.941737891737892,0.933119658119658,0.934213876164836,0.937984496124031,0.929551505222199,NA,0.37482448714779,0.0806201550387597
"japanese_vowels",3,2,"MFCL",7,0.937984496124031,0.933119658119658,0.941737891737892,0.933119658119658,0.934213876164836,0.937984496124031,0.929551505222199,NA,0.403327175161531,0.0914412276538522
"japanese_vowels",3,2,"MFCL",9,0.930232558139535,0.923860398860399,0.931351981351981,0.923860398860399,0.924655634602597,0.930232558139535,0.920756262371169,NA,0.417640349745594,0.0968513733371615
"japanese_vowels",3,2,"MFCL",11,0.930232558139535,0.926175213675214,0.92976467976468,0.926175213675214,0.926075680108664,0.930232558139535,0.920777891504606,NA,0.426802153229141,0.0995579473380742
