"dataset","seed","fold","s","n_sel","p","k_sel","gamma_sel","bal_acc_knn","acc_knn","macro_f1_knn","bal_acc_kfda","acc_kfda","macro_f1_kfda"
"japanese_vowels",4,4,1.44647765551479,4,12,11,0.125,0.812183911096955,0.8203125,0.813347789851028,0.886543549043549,0.8984375,0.889853810758323
"japanese_vowels",4,4,1.72253283030825,4,12,9,0.5,0.868482242395286,0.875,0.870332499067605,0.921265771265771,0.9296875,0.925286253267227
"japanese_vowels",4,4,2.05127216461134,6,12,11,8,0.935563872520394,0.9375,0.937334324290846,0.955738705738706,0.9609375,0.957709354310662
"japanese_vowels",4,4,2.44275024503092,8,12,3,4,0.954415954415954,0.9609375,0.95600833570143,0.964997964997965,0.96875,0.967545008449521
"japanese_vowels",4,4,2.90894054067624,11,12,1,2,0.964997964997965,0.96875,0.967826342560642,0.977973314929837,0.9765625,0.976674148896371
"japanese_vowels",4,4,3.46410161513775,12,12,1,8,0.972934472934473,0.9765625,0.974929430709482,0.973544973544974,0.9765625,0.976259954037732
"japanese_vowels",4,5,1.02,2,12,11,0.5,0.510826130391348,0.524193548387097,0.503892847592035,0.645127316322968,0.661290322580645,0.6335724817492
"japanese_vowels",4,5,1.21466341371801,2,12,9,2,0.669147378386509,0.67741935483871,0.658039302394141,0.680348837957534,0.67741935483871,0.676288773176136
"japanese_vowels",4,5,1.44647765551479,4,12,9,0.5,0.816185827055392,0.82258064516129,0.810747947704469,0.873977773434295,0.879032258064516,0.87713110963111
"japanese_vowels",4,5,1.72253283030825,5,12,11,0.25,0.902467902467902,0.911290322580645,0.906155389627338,0.876644189144189,0.887096774193548,0.878642906839494
"japanese_vowels",4,5,2.05127216461134,6,12,5,8,0.91966366966367,0.92741935483871,0.923214279794288,0.958053520553521,0.959677419354839,0.957201633686308
"japanese_vowels",4,5,2.44275024503092,8,12,3,0.125,0.958613045569567,0.959677419354839,0.958074273749769,0.931748806748807,0.935483870967742,0.932978115713648
"japanese_vowels",4,5,2.90894054067624,11,12,1,8,0.968103555060077,0.967741935483871,0.967515979962698,0.962761674718197,0.959677419354839,0.959228606253696
"japanese_vowels",4,5,3.46410161513775,12,12,1,2,0.985909822866345,0.983870967741935,0.98375380211129,0.962761674718197,0.959677419354839,0.959481398728711
"japanese_vowels",5,1,1.02,2,12,5,0.125,0.538050838050838,0.561538461538462,0.543066153849564,0.711935286935287,0.715384615384615,0.700547266049515
"japanese_vowels",5,1,1.21466341371801,2,12,7,0.125,0.798901098901099,0.792307692307692,0.788504904235898,0.761914936914937,0.761538461538461,0.760035001769235
"japanese_vowels",5,1,1.44647765551479,4,12,11,0.125,0.879237891737892,0.884615384615385,0.876374604795657,0.898977411477412,0.9,0.897137228727577
"japanese_vowels",5,1,1.72253283030825,5,12,9,8,0.936396011396011,0.938461538461538,0.933651261978337,0.92999592999593,0.930769230769231,0.928797118300664
"japanese_vowels",5,1,2.05127216461134,6,12,3,4,0.95744301994302,0.953846153846154,0.953656736446592,0.954665242165242,0.953846153846154,0.954749714773883
"japanese_vowels",5,1,2.44275024503092,8,12,5,8,0.969017094017094,0.969230769230769,0.968833170783435,0.964387464387464,0.961538461538462,0.962512477016023
"japanese_vowels",5,1,2.90894054067624,11,12,1,1,0.971331908831909,0.969230769230769,0.969757145927359,0.943554131054131,0.946153846153846,0.94572949765068
"japanese_vowels",5,1,3.46410161513775,12,12,1,4,0.979878917378917,0.976923076923077,0.977358156028369,0.975249287749288,0.969230769230769,0.972063956798256
"japanese_vowels",5,2,1.02,2,12,7,0.25,0.523029285529286,0.51937984496124,0.510494967994968,0.734216246716247,0.736434108527132,0.734101184788811
"japanese_vowels",5,2,1.21466341371801,2,12,9,2,0.703528416028416,0.697674418604651,0.700585726672683,0.739125689125689,0.728682170542636,0.733284606340162
"japanese_vowels",5,2,1.44647765551479,4,12,9,0.125,0.839652014652015,0.829457364341085,0.838980475936998,0.860238835238835,0.86046511627907,0.859837663675261
"japanese_vowels",5,2,1.72253283030825,5,12,5,0.125,0.889189051689052,0.891472868217054,0.890183434539483,0.883699633699634,0.891472868217054,0.888268897019755
"japanese_vowels",5,2,2.05127216461134,6,12,11,0.25,0.920736670736671,0.930232558139535,0.920767512380897,0.904532967032967,0.914728682170543,0.90534188034188
"japanese_vowels",5,2,2.44275024503092,8,12,3,8,0.934905372405372,0.937984496124031,0.934668983280094,0.926358363858364,0.930232558139535,0.926141333112659
"japanese_vowels",5,2,2.90894054067624,11,12,1,8,0.977564102564103,0.976744186046512,0.976446559573294,0.96268315018315,0.961240310077519,0.961067098665159
"japanese_vowels",5,2,3.46410161513775,12,12,1,8,0.96207264957265,0.961240310077519,0.960095310178566,0.990740740740741,0.992248062015504,0.9918020787586
