"dataset","method","family","needs_grid","seed","fold","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier","k_sel","gamma_sel","s_sel","n_sel","lambda","seconds","ok","error","lambda_method"
"Setting5_async","MFKmL-C + kNN","proposed",FALSE,3,4,0.444444444444444,0.444444444444444,0.611111111111111,0.444444444444444,0.419047619047619,0.444444444444444,0.166666666666667,NA,11.8922165651548,0.888888888888889,3,1,2.23606797749979,5,4.08569704259121,0.0122330188751221,TRUE,"","cv"
"Setting5_async","MFKmL-C + kFDA","proposed",FALSE,3,4,0.222222222222222,0.222222222222222,0.293939393939394,0.222222222222222,0.222370766488414,0.222222222222222,-0.166666666666667,NA,1.18817551758142,0.72944583647842,NA,1,2.23606797749979,5,4.08569704259121,0.00277900695800781,TRUE,"","cv"
"Setting5_async","MFKmL-C + medoid","proposed",FALSE,3,4,0.333333333333333,0.333333333333333,0.336507936507936,0.333333333333333,0.334110334110334,0.333333333333333,0,NA,1.07342912460401,0.650540266673532,NA,1,2.23606797749979,5,4.08569704259121,0.000381946563720703,TRUE,"","cv"
"Setting5_async","SFKmL-C + kNN","proposed",FALSE,3,5,0.722222222222222,0.722222222222222,0.716666666666667,0.722222222222222,0.70995670995671,0.722222222222222,0.583333333333333,NA,9.59410455414186,0.555555555555556,1,1,1.02,2,8.17139408518243,0.0328998565673828,TRUE,"","cv"
"Setting5_async","SFKmL-C + kFDA","proposed",FALSE,3,5,0.833333333333333,0.833333333333333,0.85,0.833333333333333,0.831168831168831,0.833333333333333,0.75,NA,0.679005053829653,0.376710084618518,NA,1,1.02,2,8.17139408518243,0.0160210132598877,TRUE,"","cv"
"Setting5_async","SFKmL-C + medoid","proposed",FALSE,3,5,0.611111111111111,0.611111111111111,0.435185185185185,0.611111111111111,0.507936507936508,0.611111111111111,0.416666666666667,NA,0.871285700714073,0.517766717718621,NA,1,1.02,2,8.17139408518243,0.0139830112457275,TRUE,"","cv"
"Setting5_async","MFKmL-C + kNN","proposed",FALSE,3,5,0.333333333333333,0.333333333333333,0.259259259259259,0.333333333333333,0.288888888888889,0.333333333333333,0,NA,23.0258509299405,1.33333333333333,1,1,2.23606797749979,5,8.17139408518243,0.0114009380340576,TRUE,"","cv"
"Setting5_async","MFKmL-C + kFDA","proposed",FALSE,3,5,0.388888888888889,0.388888888888889,0.377777777777778,0.388888888888889,0.361952861952862,0.388888888888889,0.0833333333333334,NA,1.03316683449109,0.6331468336432,NA,1,2.23606797749979,5,8.17139408518243,0.00275802612304688,TRUE,"","cv"
"Setting5_async","MFKmL-C + medoid","proposed",FALSE,3,5,0.277777777777778,0.277777777777778,0.291666666666667,0.277777777777778,0.276190476190476,0.277777777777778,-0.0833333333333333,NA,1.09424291846289,0.665064193727443,NA,1,2.23606797749979,5,8.17139408518243,0.000239133834838867,TRUE,"","cv"
"Setting5_async","SFKmL-C + kNN","proposed",FALSE,4,1,0.833333333333333,0.833333333333333,0.888888888888889,0.833333333333333,0.822222222222222,0.833333333333333,0.75,NA,2.21997554138997,0.311111111111111,5,1,1.02,2,0.0511018488593695,0.0244510173797607,TRUE,"","cv"
"Setting5_async","SFKmL-C + kFDA","proposed",FALSE,4,1,0.777777777777778,0.777777777777778,0.791666666666667,0.777777777777778,0.771428571428571,0.777777777777778,0.666666666666667,NA,0.739679404677146,0.42033664783828,NA,1,1.02,2,0.0511018488593695,0.0152978897094727,TRUE,"","cv"
"Setting5_async","SFKmL-C + medoid","proposed",FALSE,4,1,0.777777777777778,0.777777777777778,0.866666666666667,0.777777777777778,0.775252525252525,0.777777777777778,0.666666666666667,NA,0.845422436843392,0.502747332719839,NA,1,1.02,2,0.0511018488593695,0.0133068561553955,TRUE,"","cv"
